tpep_pickup_datetime,region,counts
2016-04-07 08:00:00,1231,916
2016-04-07 09:00:00,1231,984
2016-04-07 10:00:00,1231,952
2016-04-07 11:00:00,1231,1055
2016-04-07 12:00:00,1231,1126
2016-04-07 13:00:00,1231,1042
2016-04-07 14:00:00,1231,1001
2016-04-07 15:00:00,1231,862
2016-04-07 16:00:00,1231,688
2016-04-07 17:00:00,1231,775
2016-04-07 18:00:00,1231,1055
2016-04-07 19:00:00,1231,1225
2016-04-07 20:00:00,1231,1297
2016-04-07 21:00:00,1231,1038
2016-04-07 22:00:00,1231,821
2016-04-07 23:00:00,1231,967
2016-04-08 00:00:00,1231,747
2016-04-08 01:00:00,1231,498
2016-04-08 02:00:00,1231,283
2016-04-08 03:00:00,1231,173
2016-04-08 04:00:00,1231,170
2016-04-08 05:00:00,1231,194
2016-04-08 06:00:00,1231,343
2016-04-08 07:00:00,1231,513
2016-04-08 08:00:00,1231,802
2016-04-08 09:00:00,1231,960
2016-04-08 10:00:00,1231,835
2016-04-08 11:00:00,1231,970
2016-04-08 12:00:00,1231,1064
2016-04-08 13:00:00,1231,923
2016-04-08 14:00:00,1231,974
2016-04-08 15:00:00,1231,832
2016-04-08 16:00:00,1231,682
2016-04-08 17:00:00,1231,685
2016-04-08 18:00:00,1231,928
2016-04-08 19:00:00,1231,1047
2016-04-08 20:00:00,1231,1257
2016-04-08 21:00:00,1231,1152
2016-04-08 22:00:00,1231,1160
2016-04-08 23:00:00,1231,964
2016-04-09 00:00:00,1231,834
2016-04-09 01:00:00,1231,680
2016-04-09 02:00:00,1231,492
2016-04-09 03:00:00,1231,422
2016-04-09 04:00:00,1231,280
2016-04-09 05:00:00,1231,160
2016-04-09 06:00:00,1231,176
2016-04-09 07:00:00,1231,211
2016-04-09 08:00:00,1231,331
2016-04-09 09:00:00,1231,529
2016-04-09 10:00:00,1231,645
2016-04-09 11:00:00,1231,820
2016-04-09 12:00:00,1231,1005
2016-04-09 13:00:00,1231,994
2016-04-09 14:00:00,1231,909
2016-04-09 15:00:00,1231,879
2016-04-09 16:00:00,1231,773
2016-04-09 17:00:00,1231,790
2016-04-09 18:00:00,1231,1098
2016-04-09 19:00:00,1231,1026
2016-04-09 20:00:00,1231,871
2016-04-09 21:00:00,1231,808
2016-04-09 22:00:00,1231,1018
2016-04-09 23:00:00,1231,989
2016-04-10 00:00:00,1231,948
2016-04-10 01:00:00,1231,698
2016-04-10 02:00:00,1231,559
2016-04-10 03:00:00,1231,387
2016-04-10 04:00:00,1231,299
2016-04-10 05:00:00,1231,165
2016-04-10 06:00:00,1231,139
2016-04-10 07:00:00,1231,187
2016-04-10 08:00:00,1231,287
2016-04-10 09:00:00,1231,471
2016-04-10 10:00:00,1231,564
2016-04-10 11:00:00,1231,784
2016-04-10 12:00:00,1231,763
2016-04-10 13:00:00,1231,768
2016-04-10 14:00:00,1231,795
2016-04-10 15:00:00,1231,744
2016-04-10 16:00:00,1231,645
2016-04-10 17:00:00,1231,699
2016-04-10 18:00:00,1231,896
2016-04-10 19:00:00,1231,803
2016-04-10 20:00:00,1231,680
2016-04-10 21:00:00,1231,616
2016-04-10 22:00:00,1231,635
2016-04-10 23:00:00,1231,387
2016-04-11 00:00:00,1231,233
2016-04-11 01:00:00,1231,133
2016-04-11 02:00:00,1231,88
2016-04-11 03:00:00,1231,45
2016-04-11 04:00:00,1231,72
2016-04-11 05:00:00,1231,129
2016-04-11 06:00:00,1231,314
2016-04-11 07:00:00,1231,527
2016-04-11 08:00:00,1231,760
2016-04-11 09:00:00,1231,853
2016-04-11 10:00:00,1231,739
2016-04-11 11:00:00,1231,834
2016-04-11 12:00:00,1231,796
2016-04-11 13:00:00,1231,876
2016-04-11 14:00:00,1231,988
2016-04-11 15:00:00,1231,950
2016-04-11 16:00:00,1231,810
2016-04-11 17:00:00,1231,982
2016-04-11 18:00:00,1231,1130
2016-04-11 19:00:00,1231,1188
2016-04-11 20:00:00,1231,1209
2016-04-11 21:00:00,1231,1115
2016-04-11 22:00:00,1231,925
2016-04-11 23:00:00,1231,699
2016-04-12 00:00:00,1231,399
2016-04-12 01:00:00,1231,265
2016-04-12 02:00:00,1231,140
2016-04-12 03:00:00,1231,68
2016-04-12 04:00:00,1231,74
2016-04-12 05:00:00,1231,149
2016-04-12 06:00:00,1231,328
2016-04-12 07:00:00,1231,662
2016-04-12 08:00:00,1231,1008
2016-04-12 09:00:00,1231,1045
2016-04-12 10:00:00,1231,915
2016-04-12 11:00:00,1231,1081
2016-04-12 12:00:00,1231,1010
2016-04-12 13:00:00,1231,1033
2016-04-12 14:00:00,1231,997
2016-04-12 15:00:00,1231,965
2016-04-12 16:00:00,1231,815
2016-04-12 17:00:00,1231,975
2016-04-12 18:00:00,1231,1252
2016-04-12 19:00:00,1231,1342
2016-04-12 20:00:00,1231,1376
2016-04-12 21:00:00,1231,1196
2016-04-12 22:00:00,1231,1004
2016-04-12 23:00:00,1231,863
2016-04-13 00:00:00,1231,511
2016-04-13 01:00:00,1231,259
2016-04-13 02:00:00,1231,140
2016-04-13 03:00:00,1231,71
2016-04-13 04:00:00,1231,95
2016-04-13 05:00:00,1231,144
2016-04-13 06:00:00,1231,337
2016-04-13 07:00:00,1231,609
2016-04-13 08:00:00,1231,899
2016-04-13 09:00:00,1231,996
2016-04-13 10:00:00,1231,945
2016-04-13 11:00:00,1231,984
2016-04-13 12:00:00,1231,1047
2016-04-13 13:00:00,1231,1078
2016-04-13 14:00:00,1231,1097
2016-04-13 15:00:00,1231,1016
2016-04-13 16:00:00,1231,742
2016-04-13 17:00:00,1231,734
2016-04-13 18:00:00,1231,971
2016-04-13 19:00:00,1231,1232
2016-04-13 20:00:00,1231,1397
2016-04-13 21:00:00,1231,1195
2016-04-13 22:00:00,1231,1050
2016-04-13 23:00:00,1231,893
2016-04-14 00:00:00,1231,522
2016-04-14 01:00:00,1231,340
2016-04-14 02:00:00,1231,184
2016-04-14 03:00:00,1231,121
2016-04-14 04:00:00,1231,109
2016-04-14 05:00:00,1231,126
2016-04-14 06:00:00,1231,351
2016-04-14 07:00:00,1231,582
